1783992897316,0.002293,-0.013228,-0.023079,-0.033516,0.571000,-0.223329,0.045297,0.636446,-0.238470,0.161310,-0.358499,0.053114
1783992897374,-0.000458,-0.008488,-0.032235,-0.027687,0.570000,-0.221051,0.041434,0.633102,-0.242871,0.163422,-0.366307,0.056310
1783992897407,-0.002748,-0.004240,-0.048257,-0.021858,0.572000,-0.218512,0.039205,0.629078,-0.251034,0.164825,-0.379687,0.058417
1783992897442,-0.001830,0.000469,-0.073053,-0.004372,0.573000,-0.217471,0.036896,0.622702,-0.265357,0.165620,-0.402834,0.059611
1783992897475,0.002741,0.007028,-0.110437,0.030602,0.578000,-0.204057,0.034340,0.614303,-0.283198,0.166616,-0.431970,0.061101
1783992897508,0.004100,0.015871,-0.159266,0.062660,0.586000,-0.181170,0.033356,0.604911,-0.300863,0.170389,-0.461539,0.066672
1783992897542,0.005887,0.029680,-0.226406,0.112206,0.594000,-0.149713,0.029375,0.591433,-0.322074,0.176586,-0.498661,0.075918
1783992897575,0.004065,0.035160,-0.292782,0.123863,0.599000,-0.107832,0.019183,0.581805,-0.333981,0.175129,-0.521115,0.074077
1783992897609,0.004030,0.049585,-0.361830,0.170494,0.604000,-0.061730,0.010320,0.572956,-0.340908,0.178021,-0.536734,0.078781
1783992897643,0.004468,0.052704,-0.436599,0.182152,0.607000,-0.011284,0.007852,0.567217,-0.346782,0.175293,-0.548741,0.074978
1783992897676,0.004913,0.053146,-0.494583,0.185066,0.605000,0.032327,0.006320,0.568012,-0.342685,0.172161,-0.542846,0.070505
1783992897710,0.003570,0.054486,-0.540360,0.185066,0.602000,0.074527,0.010785,0.573350,-0.331691,0.172802,-0.524471,0.071560
1783992897745,0.003122,0.054931,-0.574311,0.185066,0.593000,0.107286,0.014069,0.579531,-0.316523,0.174062,-0.499899,0.073651
1783992897778,0.002676,0.055376,-0.588045,0.185066,0.586000,0.127365,0.016821,0.588139,-0.295634,0.175869,-0.465773,0.076570
1783992897812,0.002676,0.055376,-0.578126,0.185066,0.584000,0.133215,0.016279,0.599314,-0.270085,0.176537,-0.423399,0.077668
1783992897845,-0.000889,0.058919,-0.553712,0.185066,0.588000,0.124879,0.014926,0.609782,-0.246383,0.178379,-0.383993,0.080375
1783992897879,-0.001778,0.059800,-0.519760,0.185066,0.592000,0.111026,0.013063,0.618810,-0.225952,0.178150,-0.350098,0.079903
1783992897912,-0.002221,0.060239,-0.488098,0.185066,0.601000,0.084852,0.008273,0.624641,-0.217484,0.176294,-0.335047,0.076840
1783992897946,-0.002221,0.060239,-0.451476,0.185066,0.603000,0.061672,0.004798,0.628596,-0.210009,0.173719,-0.322434,0.072879
1783992897979,-0.002221,0.060239,-0.415999,0.185066,0.603000,0.037212,0.001295,0.629949,-0.205962,0.170797,-0.315995,0.068549
1783992898013,-0.002221,0.060239,-0.380903,0.185066,0.607000,0.011831,0.000800,0.631475,-0.204897,0.168965,-0.313755,0.065722
1783992898047,-0.002221,0.060239,-0.351530,0.185066,0.605000,-0.011247,0.000797,0.630477,-0.207440,0.167837,-0.317865,0.064066
1783992898080,-0.002221,0.060239,-0.330167,0.185066,0.603000,-0.027683,0.000294,0.628115,-0.212680,0.166926,-0.326484,0.062769
1783992898114,-0.002221,0.060239,-0.314527,0.185066,0.603000,-0.047651,0.000294,0.625079,-0.221740,0.166397,-0.340890,0.061974
1783992898148,-0.002221,0.060239,-0.307660,0.185066,0.606000,-0.058423,-0.001213,0.622764,-0.233295,0.165560,-0.358430,0.060570
1783992898182,-0.002221,0.060239,-0.309949,0.185066,0.605000,-0.062333,-0.001211,0.619055,-0.245593,0.165037,-0.377678,0.059711
1783992898215,-0.002221,0.060239,-0.315671,0.185066,0.604000,-0.059730,-0.000708,0.615631,-0.254527,0.164899,-0.392039,0.059489
1783992898249,-0.002221,0.060239,-0.322538,0.185066,0.607000,-0.055504,-0.001215,0.614325,-0.260758,0.164681,-0.401416,0.059063
1783992898282,-0.002221,0.060239,-0.331312,0.185066,0.606000,-0.050396,-0.002219,0.612587,-0.265293,0.164121,-0.408686,0.058220
1783992898315,-0.002221,0.060239,-0.341230,0.185066,0.606000,-0.046383,-0.001213,0.610789,-0.269331,0.164184,-0.415307,0.058314
1783992898350,-0.002221,0.060239,-0.354200,0.185066,0.606000,-0.038857,-0.001716,0.608834,-0.273203,0.164013,-0.421799,0.058081
1783992898383,-0.002221,0.060239,-0.366026,0.185066,0.607000,-0.031384,-0.002223,0.607997,-0.275336,0.163726,-0.425227,0.057647
1783992898416,-0.002221,0.060239,-0.378233,0.185066,0.607000,-0.023847,-0.001719,0.607192,-0.276919,0.163749,-0.427886,0.057687
