time_ms,has_target,raw_x,raw_y,raw_z,filt_x,filt_y,filt_z,filt_vx,filt_vy,filt_vz,point_yaw,point_pitch
1784705568616,1,0.6670000553131104,-0.05878187716007233,0.057341478765010834,0.6670000553131104,-0.05878187716007233,0.057341478765010834,0.0,0.0,0.0,-0.10791347326072304,0.06321939372624794
1784705568649,1,0.6670000553131104,-0.059334054589271545,0.05789503455162048,0.6669998125396015,-0.05921162095460433,0.05775775782679873,1.845074189592516e-05,-0.008749892170255296,0.009812818802061658,-0.1084957286571708,0.06376547621687692
1784705568683,1,0.6660000085830688,-0.05979643389582634,0.05615004897117615,0.6662522179514277,-0.05973330074043021,0.05663975926135264,-0.011924050667503388,-0.011917871252353957,-0.013363754731164513,-0.10888977288588624,0.0623449329027112
1784705568716,1,0.6650000214576721,-0.0591561384499073,0.05551384389400482,0.6652985101708109,-0.05943614868470364,0.05575092530219938,-0.01851038351914895,-0.004641014790755509,-0.018607112762330714,-0.10896906377872487,0.06126104610338609
1784705568750,1,0.6650000214576721,-0.06025717034935951,0.05551384389400482,0.6648584437125163,-0.060035812401984245,0.05534562141389703,-0.01677620139413481,-0.008213429415576682,-0.016531468652697886,-0.10982389969870718,0.06075365271722136
1784705568784,1,0.6650000214576721,-0.06025717034935951,0.05551384389400482,0.6646490419613839,-0.06027588092860605,0.055153597334406085,-0.014057971701306236,-0.007985492414248925,-0.013747297402770128,-0.1101698717485518,0.06051387775789241
1784705568816,1,0.6660000085830688,-0.05979643389582634,0.055044595152139664,0.6649967392975149,-0.06008939222946322,0.05485649661728049,-0.0087682699208967,-0.005549650892165768,-0.012766391107620548,-0.10987620403281766,0.06008645549467578
1784705568850,1,0.6650000214576721,-0.0586056187748909,0.054961949586868286,0.6648258225172686,-0.05929425667937798,0.054640659978101386,-0.008058001779404432,-0.0010078035051055735,-0.011520767001953765,-0.10843872709336208,0.05982861134903794
1784705568884,1,0.6650000214576721,-0.06025717034935951,0.05551384389400482,0.6647139054078027,-0.05986183890719334,0.05471541921226582,-0.007212112191787081,-0.0031385749733716904,-0.009135637823674348,-0.10959963817257429,0.05992966693847987
1784705568918,1,0.6660000085830688,-0.0603477843105793,0.055597323924303055,0.6649881396553727,-0.06017454724550438,0.054812189004307704,-0.004805660956219244,-0.0038849495166290195,-0.0072794772598812315,-0.11037316026795346,0.06002671386889569
1784705568952,1,0.6670000553131104,-0.05988622456789017,0.056234363466501236,0.6655096101978426,-0.060062830260287615,0.05508857109231213,-0.0018619630988573272,-0.0031259889095741696,-0.005046532616931104,-0.10978469383010943,0.06034627166720688
1784705568985,1,0.6680000424385071,-0.06052900850772858,0.05909060686826706,0.666192862131876,-0.06035417415539095,0.056141442026659244,0.0011519025769050934,-0.003665518070834205,-0.0001922316301234614,-0.10972838319923232,0.061676679953645425
1784705569018,1,0.6670000553131104,-0.06043839827179909,0.05789503455162048,0.6664422677548918,-0.06045219852346613,0.056618503988767825,0.0019621896305416714,-0.003602426370112925,0.001621346986161208,-0.11021801990809033,0.062285113805038955
1784705569052,1,0.6670000553131104,-0.059334054589271545,0.05789503455162048,0.6666411529163666,-0.059906004417423366,0.05699024723854888,0.0024410383605055807,-0.0019919930790640713,0.0027576680771236608,-0.10946351527652758,0.06276919179985876
1784705569086,1,0.6670000553131104,-0.059334054589271545,0.05789503455162048,0.666795983771334,-0.05962789807221192,0.05728585111937973,0.0026894043122665735,-0.0012257998821540161,0.0034498186597301038,-0.10945593412460482,0.06315153625362316
1784705569120,1,0.6670000553131104,-0.06099056825041771,0.057341478765010834,0.6669086926721237,-0.060382885137242166,0.05738984427480034,0.0027695023323342756,-0.0026740819373307616,0.0033960643980501756,-0.1100790129399679,0.06326527445683225
1784705569153,1,0.6660000085830688,-0.060899123549461365,0.05725550279021263,0.6667679978246813,-0.060698429358965994,0.05744390169807205,0.0020183275836284133,-0.003120219396705625,0.003224711997793143,-0.11052009469061408,0.06334596556336325
1784705569187,1,0.6660000085830688,-0.0603477843105793,0.055597323924303055,0.666653820996491,-0.060567841304942444,0.05711939946782427,0.0014000171133159668,-0.0026958352389695873,0.0018391010048076843,-0.1103543181899937,0.06292823835970376
1784705569222,1,0.6650000214576721,-0.06245923414826393,0.05661763995885849,0.6663225507182811,-0.061633946046374115,0.057060688167883226,0.0002074540047234182,-0.00432280625109,0.001467330363066816,-0.11144550210053263,0.0628650411192351
1784705569254,1,0.6660000085830688,-0.0603477843105793,0.05670277774333954,0.6662673617846125,-0.061036499230280615,0.05702305678958552,-1.1667241059875005e-05,-0.0031248121237810508,0.0012030056913424902,-0.1110284125793776,0.06283099171851561
1784705569287,1,0.6690000295639038,-0.058958131819963455,0.058623846620321274,0.6668430659505095,-0.05999751656318901,0.05738541388303303,0.0017987145363056339,-0.0013509449942922056,0.0021858051499906266,-0.1095676629806942,0.06327275377653849
1784705569322,1,0.6670000553131104,-0.059334054589271545,0.05789503455162048,0.6669291747863327,-0.05966813380177957,0.05755073186838476,0.0018680644113353083,-0.0008078035815249434,0.002464840556637756,-0.10911617102200799,0.06348952959291612
